slurm-1556372.out:DATA: Trial: 3, Line Count: 4, Node Count: 10000, Process Count: 16, Elapsed Time: 32.370028
slurm-1556373.out:DATA: Trial: 4, Line Count: 1, Node Count: 10000, Process Count: 1, Elapsed Time: 424.317218
slurm-1556374.out:DATA: Trial: 4, Line Count: 2, Node Count: 10000, Process Count: 2, Elapsed Time: 226.477478
slurm-1556375.out:DATA: Trial: 4, Line Count: 2, Node Count: 10000, Process Count: 4, Elapsed Time: 114.464278
slurm-1556376.out:DATA: Trial: 4, Line Count: 2, Node Count: 10000, Process Count: 8, Elapsed Time: 58.308154
slurm-1556377.out:DATA: Trial: 4, Line Count: 4, Node Count: 10000, Process Count: 4, Elapsed Time: 116.547038
slurm-1556378.out:DATA: Trial: 4, Line Count: 4, Node Count: 10000, Process Count: 8, Elapsed Time: 61.024577
slurm-1556379.out:DATA: Trial: 4, Line Count: 4, Node Count: 10000, Process Count: 16, Elapsed Time: 33.556181
slurm-1556380.out:DATA: Trial: 5, Line Count: 1, Node Count: 10000, Process Count: 1, Elapsed Time: 424.952060
slurm-1556381.out:DATA: Trial: 5, Line Count: 2, Node Count: 10000, Process Count: 2, Elapsed Time: 231.211913
slurm-1556382.out:DATA: Trial: 5, Line Count: 2, Node Count: 10000, Process Count: 4, Elapsed Time: 114.415374
slurm-1556383.out:DATA: Trial: 5, Line Count: 2, Node Count: 10000, Process Count: 8, Elapsed Time: 58.076324
slurm-1556384.out:DATA: Trial: 5, Line Count: 4, Node Count: 10000, Process Count: 4, Elapsed Time: 116.294639
slurm-1556385.out:DATA: Trial: 5, Line Count: 4, Node Count: 10000, Process Count: 8, Elapsed Time: 60.767926
slurm-1556386.out:DATA: Trial: 5, Line Count: 4, Node Count: 10000, Process Count: 16, Elapsed Time: 33.871779
slurm-1556387.out:DATA: Trial: 1, Line Count: 1, Node Count: 100000, Process Count: 1, Elapsed Time: 4586.890220
slurm-1556388.out:DATA: Trial: 1, Line Count: 2, Node Count: 100000, Process Count: 2, Elapsed Time: 2199.856860
slurm-1556389.out:DATA: Trial: 1, Line Count: 2, Node Count: 100000, Process Count: 4, Elapsed Time: 1107.572885
slurm-1556390.out:DATA: Trial: 1, Line Count: 2, Node Count: 100000, Process Count: 8, Elapsed Time: 569.380101
slurm-1556391.out:DATA: Trial: 1, Line Count: 4, Node Count: 100000, Process Count: 4, Elapsed Time: 1137.063682
slurm-1556392.out:DATA: Trial: 1, Line Count: 4, Node Count: 100000, Process Count: 8, Elapsed Time: 579.516674
slurm-1556394.out:DATA: Trial: 2, Line Count: 1, Node Count: 100000, Process Count: 1, Elapsed Time: 4591.049974
slurm-1556395.out:DATA: Trial: 2, Line Count: 2, Node Count: 100000, Process Count: 2, Elapsed Time: 2190.065617
slurm-1556396.out:DATA: Trial: 2, Line Count: 2, Node Count: 100000, Process Count: 4, Elapsed Time: 1130.708803
slurm-1556397.out:DATA: Trial: 2, Line Count: 2, Node Count: 100000, Process Count: 8, Elapsed Time: 570.229716
slurm-1556398.out:DATA: Trial: 2, Line Count: 4, Node Count: 100000, Process Count: 4, Elapsed Time: 1150.638979
slurm-1556399.out:DATA: Trial: 2, Line Count: 4, Node Count: 100000, Process Count: 8, Elapsed Time: 583.288802
slurm-1556401.out:DATA: Trial: 3, Line Count: 1, Node Count: 100000, Process Count: 1, Elapsed Time: 4470.221213
slurm-1556402.out:DATA: Trial: 3, Line Count: 2, Node Count: 100000, Process Count: 2, Elapsed Time: 2204.397302
