FILENAME,THREAD_COUNT,NUM_ITER,TRIAL_COUNT,ELAPSED_TIME,VIR_MEM (KB),PHYS_MEM (KB),,,OMP Averages,,
slurm-1422154.out:DATA,4,100000000,4,385.281,33296,668,1560.4896,,,,
slurm-1422155.out:DATA,4,100000000,5,423.946,33296,668,,,,,
slurm-1422156.out:DATA,4,100000000,6,383.612,33296,604,,,,,
slurm-1422157.out:DATA,4,100000000,7,386.606,33296,668,,,,,
slurm-1422158.out:DATA,4,100000000,8,387.145,33296,604,,,,,
slurm-1422159.out:DATA,4,100000000,9,388.458,33296,604,,,,,
slurm-1422160.out:DATA,4,100000000,10,428.13,33296,604,,,,,
slurm-1422161.out:DATA,4,200000000,1,766.58,33296,604,,,,,
slurm-1422162.out:DATA,4,200000000,2,774.99,33296,604,,,,,
slurm-1422163.out:DATA,4,200000000,3,819.927,33296,604,,,,,
slurm-1422164.out:DATA,4,200000000,4,772.819,33296,604,,,,,
slurm-1422165.out:DATA,4,200000000,5,775.88,33296,604,,,,,
slurm-1422166.out:DATA,4,200000000,6,775.304,33296,604,,,,,
slurm-1422167.out:DATA,4,200000000,7,776.924,33296,604,,,,,
slurm-1422168.out:DATA,4,200000000,8,775.954,33296,604,,,,,
slurm-1422169.out:DATA,4,200000000,9,777.321,33296,604,,,,,
slurm-1422170.out:DATA,4,200000000,10,775.455,33296,604,,,,,
slurm-1422171.out:DATA,4,300000000,1,1156.155,33296,604,,,,,
slurm-1422172.out:DATA,4,300000000,2,1205.109,33296,604,,,,,
slurm-1422173.out:DATA,4,300000000,3,1165.433,33296,668,,,,,
slurm-1422174.out:DATA,4,300000000,4,1203.656,33296,604,,,,,
slurm-1422175.out:DATA,4,300000000,5,1165.025,33296,604,,,,,
slurm-1422176.out:DATA,4,300000000,6,1203.893,33296,604,,,,,
slurm-1422177.out:DATA,4,300000000,7,1165.675,33296,604,,,,,
slurm-1422178.out:DATA,4,300000000,8,1161.31,33296,604,,,,,
slurm-1422179.out:DATA,4,300000000,9,1165.432,33296,604,,,,,
slurm-1422180.out:DATA,4,300000000,10,1206.535,33296,604,,,,,
slurm-1422181.out:DATA,4,400000000,1,1543.121,33296,604,,,,,
slurm-1422182.out:DATA,4,400000000,2,2143.622,33296,604,,,,,
slurm-1422183.out:DATA,4,400000000,3,1471.389,33296,604,,,,,
slurm-1422184.out:DATA,4,400000000,4,1498.693,33296,604,,,,,
slurm-1422185.out:DATA,4,400000000,5,1459.083,33296,604,,,,,
slurm-1422186.out:DATA,4,400000000,6,1600.479,33296,604,,,,,
slurm-1422187.out:DATA,4,400000000,7,1479.27,33296,604,,,,,
slurm-1422188.out:DATA,4,400000000,8,1460.039,33296,600,,,,,
slurm-1422189.out:DATA,4,400000000,9,1464.575,33296,604,,,,,
slurm-1422190.out:DATA,4,400000000,10,1484.625,33296,604,,,,,
slurm-1422191.out:DATA,8,100000000,1,404.651,66080,604,,,,,
slurm-1422192.out:DATA,8,100000000,2,381.662,66080,604,405.0431,,,,
slurm-1422193.out:DATA,8,100000000,3,420.811,66080,604,812.9748,,,,
slurm-1422194.out:DATA,8,100000000,4,412.073,66080,604,1213.251,,,,
slurm-1422195.out:DATA,8,100000000,5,403.803,66080,604,1585.170889,,,,
slurm-1422196.out:DATA,8,100000000,6,419.024,66080,604,,,,,
slurm-1422197.out:DATA,8,100000000,7,376.559,66080,668,,,,,
slurm-1422198.out:DATA,8,100000000,8,377.808,66080,604,,,,,
slurm-1422199.out:DATA,8,100000000,9,426.876,66080,604,,,,,
slurm-1422200.out:DATA,8,100000000,10,427.164,66080,604,,,,,
slurm-1422201.out:DATA,8,200000000,1,804.416,66080,604,,,,,
slurm-1422202.out:DATA,8,200000000,2,814.12,66080,604,,,,,
slurm-1422203.out:DATA,8,200000000,3,781.078,66080,604,,,,,
slurm-1422204.out:DATA,8,200000000,4,815.935,66080,604,,,,,
slurm-1422205.out:DATA,8,200000000,5,812.836,66080,604,,,,,
slurm-1422206.out:DATA,8,200000000,6,837.29,66080,604,,,,,
slurm-1422207.out:DATA,8,200000000,7,779.661,66080,668,,,,,
slurm-1422208.out:DATA,8,200000000,8,802.659,66080,604,,,,,
slurm-1422209.out:DATA,8,200000000,9,837.101,66080,604,,,,,
slurm-1422210.out:DATA,8,200000000,10,844.652,66080,604,,,,,
slurm-1422211.out:DATA,8,300000000,1,1198.267,66080,604,,,,,
slurm-1422212.out:DATA,8,300000000,2,1219.719,66080,604,,,,,
slurm-1422213.out:DATA,8,300000000,3,1230.031,66080,604,,,,,
slurm-1422214.out:DATA,8,300000000,4,1206.73,66080,604,,,,,
slurm-1422215.out:DATA,8,300000000,5,1220.862,66080,604,,,,,
slurm-1422216.out:DATA,8,300000000,6,1197.149,66080,604,,,,,
slurm-1422217.out:DATA,8,300000000,7,1201.987,66080,604,,,,,
slurm-1422218.out:DATA,8,300000000,8,1227.938,66080,604,,,,,
slurm-1422219.out:DATA,8,300000000,9,1198.865,66080,604,,,,,
slurm-1422220.out:DATA,8,300000000,10,1230.962,66080,604,,,,,
slurm-1422221.out:DATA,8,400000000,1,1606.037,66080,668,,,,,
slurm-1422222.out:DATA,8,400000000,2,1613.512,66080,604,,,,,
slurm-1422223.out:DATA,8,400000000,3,1568.135,66080,604,,,,,
slurm-1422224.out:DATA,8,400000000,4,1603.379,66080,604,,,,,
slurm-1422225.out:DATA,8,400000000,5,1627.325,66080,604,,,,,
slurm-1422226.out:DATA,8,400000000,6,1554.178,66080,604,,,,,
slurm-1422227.out:DATA,8,400000000,7,1618.935,66080,604,,,,,
slurm-1422228.out:DATA,8,400000000,8,1585.317,66080,604,,,,,
slurm-1422229.out:DATA,8,400000000,9,,66080,604,2765.362,,,,
slurm-1422230.out:DATA,8,400000000,10,1489.72,66080,668,,,,,
slurm-1422231.out:DATA,16,100000000,1,380.809,131648,604,,,,,
slurm-1422232.out:DATA,16,100000000,2,377.396,131648,604,,,,,
slurm-1422233.out:DATA,16,100000000,3,409.202,131648,604,,,,,
slurm-1422234.out:DATA,16,100000000,4,378.426,131648,4700,,,,,
slurm-1422235.out:DATA,16,100000000,5,387.343,131648,604,,,,,
slurm-1422236.out:DATA,16,100000000,6,414.674,131648,604,397.6174,,,,
slurm-1422237.out:DATA,16,100000000,7,397.501,131648,604,793.3171,,,,
slurm-1422238.out:DATA,16,100000000,8,406.124,131648,604,1176.4247,,,,
slurm-1422239.out:DATA,16,100000000,9,403.006,131648,604,1568.8196,,,,
slurm-1422240.out:DATA,16,100000000,10,421.693,131648,604,,,,,
slurm-1422241.out:DATA,16,200000000,1,771.594,131648,604,,,,,
slurm-1422242.out:DATA,16,200000000,2,774.671,131648,604,,,,,
slurm-1422243.out:DATA,16,200000000,3,782.578,131648,604,,,,,
slurm-1422244.out:DATA,16,200000000,4,802.065,131648,604,,,,,
slurm-1422245.out:DATA,16,200000000,5,791.031,131648,604,,,,,
slurm-1422246.out:DATA,16,200000000,6,817.539,131648,604,,,,,
slurm-1422247.out:DATA,16,200000000,7,782.316,131648,604,,,,,
slurm-1422248.out:DATA,16,200000000,8,787.916,131648,604,,,,,
slurm-1422249.out:DATA,16,200000000,9,807.962,131648,604,,,,,
slurm-1422250.out:DATA,16,200000000,10,815.499,131648,604,,,,,
slurm-1422251.out:DATA,16,300000000,1,1159.184,131648,604,,,,,
slurm-1422252.out:DATA,16,300000000,2,1175.106,131648,604,,,,,
slurm-1422253.out:DATA,16,300000000,3,1172.631,131648,604,,,,,
slurm-1422254.out:DATA,16,300000000,4,1171.803,131648,604,,,,,
slurm-1422255.out:DATA,16,300000000,5,1172.661,131648,604,,,,,
slurm-1422256.out:DATA,16,300000000,6,1182.785,131648,604,,,,,
slurm-1422257.out:DATA,16,300000000,7,1175.399,131648,4700,,,,,
slurm-1422258.out:DATA,16,300000000,8,1190.684,131648,604,,,,,
slurm-1422259.out:DATA,16,300000000,9,1176,131648,604,,,,,
slurm-1422260.out:DATA,16,300000000,10,1187.994,131648,604,,,,,
slurm-1422261.out:DATA,16,400000000,1,1556.183,131648,604,,,,,
slurm-1422262.out:DATA,16,400000000,2,1559.483,131648,604,,,,,
slurm-1422263.out:DATA,16,400000000,3,1592.11,131648,604,,,,,
slurm-1422264.out:DATA,16,400000000,4,1563.642,131648,604,,,,,
slurm-1422265.out:DATA,16,400000000,5,1573.879,131648,604,,,,,
slurm-1422266.out:DATA,16,400000000,6,1564.011,131648,604,,,,,
slurm-1422267.out:DATA,16,400000000,7,1576.665,131648,604,,,,,
slurm-1422268.out:DATA,16,400000000,8,1579.339,131648,604,,,,,
slurm-1422269.out:DATA,16,400000000,9,1571.114,131648,604,,,,,
slurm-1422270.out:DATA,16,400000000,10,1551.77,131648,604,,,,,
slurm-1422271.out:DATA,2,100000000,1,776.873,90572,488,,,,,
slurm-1422272.out:DATA,2,100000000,2,756.751,90572,488,756.6696,,,,
slurm-1422273.out:DATA,2,100000000,3,751.78,90572,488,1506.0383,,,,
slurm-1422274.out:DATA,2,100000000,4,751.708,90572,488,2242.2795,,,,
slurm-1422275.out:DATA,2,100000000,5,755.194,90572,488,2960.3311,,,,
slurm-1422276.out:DATA,2,100000000,6,753.95,90572,488,,,,,
slurm-1422277.out:DATA,2,100000000,7,757.041,90572,488,,,,,
slurm-1422278.out:DATA,2,100000000,8,757.894,90572,488,,,,,
slurm-1422279.out:DATA,2,100000000,9,760.928,90572,488,,,,,
slurm-1422280.out:DATA,2,100000000,10,744.577,90572,488,,,,,
slurm-1422281.out:DATA,2,200000000,1,1464.934,90572,488,,,,,
slurm-1422282.out:DATA,2,200000000,2,1506.07,90572,488,,,,,
slurm-1422283.out:DATA,2,200000000,3,1507.36,90572,488,,,,,
slurm-1422284.out:DATA,2,200000000,4,1507.459,90572,488,,,,,
slurm-1422285.out:DATA,2,200000000,5,1512.176,90572,488,,,,,
slurm-1422286.out:DATA,2,200000000,6,1506.555,90572,488,,,,,
slurm-1422287.out:DATA,2,200000000,7,1509.1,90572,488,,,,,
slurm-1422288.out:DATA,2,200000000,8,1521.032,90572,488,,,,,
slurm-1422289.out:DATA,2,200000000,9,1517.436,90572,488,,,,,
slurm-1422290.out:DATA,2,200000000,10,1508.261,90572,488,,,,,
slurm-1422291.out:DATA,2,300000000,1,2229.79,90572,488,,,,,
